stop_date,stop_time,country_name,driver_gender,driver_age_raw,driver_age,driver_race,violation_raw,violation,search_conducted,search_type,stop_outcome,is_arrested,stop_duration,drugs_related_stop,vehicle_number
2020-01-01,00:45:00,India,F,68,64,Asian,Other,Other,1,Vehicle Search,Ticket,1,16-30 Min,1,DL31KD2035
2020-01-01,00:46:00,India,M,61,32,Hispanic,Drunk Driving,Signal,0,Vehicle Search,Warning,0,16-30 Min,0,TN84HR9877
2020-01-01,00:47:00,Canada,M,35,23,Asian,Other,Signal,1,Vehicle Search,Warning,1,16-30 Min,0,DL82AO6838
2020-01-01,00:48:00,USA,M,33,28,Asian,Other,Signal,0,Vehicle Search,Warning,1,30+ Min,1,MH41QW2497
2020-01-01,00:49:00,Canada,F,35,47,White,Seatbelt,DUI,1,Vehicle Search,Warning,0,16-30 Min,0,DL13ZS8904
2020-01-01,00:50:00,Canada,F,29,18,White,Signal Violation,Seatbelt,0,Frisk,Arrest,1,16-30 Min,0,MH37EG9241
2020-01-01,00:51:00,India,F,70,76,Hispanic,Seatbelt,Signal,1,Frisk,Warning,0,30+ Min,0,KA50EI7957
2020-01-01,00:52:00,USA,F,59,61,White,Drunk Driving,Seatbelt,1,Frisk,Arrest,0,0-15 Min,0,KA64GY4451
2020-01-01,00:53:00,Canada,F,72,43,White,Seatbelt,Speeding,1,Frisk,Ticket,0,16-30 Min,0,GJ17GE2142
2020-01-01,00:54:00,USA,M,49,32,White,Speeding,Signal,1,Frisk,Ticket,1,16-30 Min,1,KA73KN5444
2020-01-01,00:55:00,India,M,26,32,Asian,Speeding,Seatbelt,0,Vehicle Search,Ticket,0,16-30 Min,0,MH58AO2763
2020-01-01,00:56:00,USA,F,52,68,White,Drunk Driving,Speeding,0,Vehicle Search,Arrest,1,0-15 Min,0,DL85LD9268
2020-01-01,00:57:00,Canada,F,38,25,Hispanic,Signal Violation,Speeding,1,Vehicle Search,Arrest,0,30+ Min,1,GJ72CL4694
2020-01-01,00:58:00,USA,M,39,48,Hispanic,Signal Violation,DUI,0,Vehicle Search,Arrest,0,16-30 Min,1,RJ66EL4572
2020-01-01,00:59:00,India,M,46,30,Hispanic,Speeding,Speeding,1,Vehicle Search,Arrest,1,30+ Min,1,WB71MG2848
2020-01-01,01:00:00,Canada,M,55,76,Other,Signal Violation,Speeding,0,Frisk,Ticket,1,16-30 Min,1,MH16SA1781
2020-01-01,01:01:00,USA,F,68,28,Asian,Drunk Driving,Seatbelt,1,Frisk,Ticket,1,0-15 Min,0,DL48XQ7468
2020-01-01,01:02:00,India,M,35,60,Black,Other,DUI,0,Frisk,Warning,0,30+ Min,1,MH47UP7891
2020-01-01,01:03:00,India,F,73,78,Asian,Other,Signal,0,Frisk,Ticket,1,0-15 Min,1,KA25VM7960
2020-01-01,01:04:00,Canada,M,56,51,White,Seatbelt,Seatbelt,1,Vehicle Search,Arrest,1,16-30 Min,1,DL10UB3062
2020-01-01,01:05:00,USA,F,75,77,Asian,Speeding,Seatbelt,1,Vehicle Search,Arrest,0,0-15 Min,0,RJ36PA3655
2020-01-01,01:06:00,Canada,F,20,71,Other,Drunk Driving,DUI,0,Vehicle Search,Warning,1,30+ Min,0,GJ41BV7342
2020-01-01,01:07:00,Canada,M,66,22,Asian,Seatbelt,Signal,1,Vehicle Search,Arrest,1,0-15 Min,0,GJ11LO3819
2020-01-01,01:08:00,Canada,F,33,31,Other,Speeding,Signal,0,Vehicle Search,Warning,0,0-15 Min,0,WB34ID1259
2020-01-01,01:09:00,USA,F,51,68,Other,Drunk Driving,Seatbelt,0,Frisk,Ticket,0,30+ Min,1,GJ50WS8237
2020-01-01,01:10:00,India,M,34,60,Asian,Seatbelt,DUI,0,Vehicle Search,Warning,0,0-15 Min,1,DL81FJ4363
2020-01-01,01:11:00,India,M,58,32,Hispanic,Other,DUI,1,Vehicle Search,Warning,1,30+ Min,1,GJ88KF5573
2020-01-01,01:12:00,USA,M,59,37,Black,Other,Other,0,Vehicle Search,Ticket,1,16-30 Min,0,RJ40ZT3886
2020-01-01,01:13:00,India,F,40,74,Other,Other,Other,1,Vehicle Search,Arrest,0,30+ Min,1,MH65RK4033
2020-01-01,01:14:00,USA,F,22,24,White,Drunk Driving,Speeding,1,Vehicle Search,Ticket,1,16-30 Min,0,UP53KC7731
2020-01-01,01:15:00,USA,M,80,55,White,Seatbelt,Signal,0,Vehicle Search,Ticket,1,0-15 Min,1,MH28UO7873
2020-01-01,01:16:00,India,M,35,35,Black,Speeding,Signal,1,Vehicle Search,Warning,0,0-15 Min,1,TN50GM4181
2020-01-01,01:17:00,India,F,28,75,Other,Drunk Driving,Other,1,Frisk,Arrest,1,30+ Min,0,GJ84VR4769
2020-01-01,01:18:00,USA,M,53,39,Other,Speeding,Seatbelt,0,Vehicle Search,Ticket,0,0-15 Min,0,UP57UB2650
2020-01-01,01:19:00,USA,M,18,26,White,Speeding,Other,1,Vehicle Search,Arrest,1,30+ Min,0,UP65SH6528
2020-01-01,01:20:00,USA,F,55,21,Asian,Signal Violation,Speeding,0,Frisk,Ticket,1,16-30 Min,0,WB99ER1139
2020-01-01,01:21:00,Canada,M,47,40,Other,Drunk Driving,Speeding,0,Frisk,Warning,1,16-30 Min,1,RJ35JA3159
2020-01-01,01:22:00,USA,M,73,53,Hispanic,Signal Violation,Signal,1,Frisk,Warning,0,16-30 Min,1,KA92WF8533
2020-01-01,01:23:00,USA,F,41,21,Other,Speeding,DUI,0,Frisk,Arrest,1,30+ Min,1,TN94SX3537
2020-01-01,01:24:00,USA,M,70,22,Black,Seatbelt,Seatbelt,0,Vehicle Search,Arrest,1,0-15 Min,0,DL36CV6003
2020-01-01,01:25:00,USA,M,19,50,Other,Signal Violation,Speeding,1,Vehicle Search,Arrest,0,16-30 Min,1,DL90XB1655
2020-01-01,01:26:00,USA,M,24,55,Hispanic,Speeding,DUI,0,Frisk,Ticket,0,16-30 Min,1,GJ90BL5009
2020-01-01,01:27:00,India,F,31,20,Black,Drunk Driving,Signal,0,Frisk,Warning,1,0-15 Min,0,WB19UQ8951
2020-01-01,01:28:00,Canada,M,53,19,Black,Signal Violation,DUI,0,Frisk,Warning,0,16-30 Min,1,WB96XV1244
2020-01-01,01:29:00,USA,F,46,64,Hispanic,Seatbelt,Speeding,0,Vehicle Search,Warning,1,30+ Min,0,TN87GU9888
2020-01-01,01:30:00,India,F,75,63,Asian,Speeding,DUI,0,Vehicle Search,Ticket,1,0-15 Min,0,MH82TP6195
2020-01-01,01:31:00,India,F,36,49,Other,Drunk Driving,Signal,0,Vehicle Search,Ticket,0,16-30 Min,0,GJ36QW4221
2020-01-01,01:32:00,USA,F,77,35,Hispanic,Seatbelt,Speeding,1,Vehicle Search,Ticket,0,30+ Min,0,WB88YO8532
2020-01-01,01:33:00,USA,F,70,75,Other,Speeding,DUI,0,Vehicle Search,Ticket,0,30+ Min,0,RJ45XR5576
2020-01-01,01:34:00,India,M,32,39,Black,Signal Violation,Signal,0,Frisk,Ticket,0,0-15 Min,0,RJ91YV2437
2020-01-01,01:35:00,USA,M,57,64,White,Speeding,Speeding,0,Frisk,Ticket,1,0-15 Min,0,RJ93ID8505
2020-01-01,01:36:00,USA,M,53,47,Black,Seatbelt,Seatbelt,0,Frisk,Arrest,1,30+ Min,1,UP77ON6789
2020-01-01,01:37:00,USA,M,40,41,Other,Signal Violation,Signal,0,Frisk,Warning,0,0-15 Min,1,WB90WK6774
2020-01-01,01:38:00,India,F,47,65,White,Seatbelt,Speeding,0,Frisk,Warning,1,0-15 Min,1,KA14JB4215
2020-01-01,01:39:00,USA,F,48,48,Hispanic,Signal Violation,Other,1,Frisk,Warning,1,0-15 Min,0,UP69PU2954
2020-01-01,01:40:00,India,F,57,26,White,Other,Speeding,0,Frisk,Arrest,1,0-15 Min,0,UP98QY4152
2020-01-01,01:41:00,Canada,M,70,59,White,Other,Signal,1,Frisk,Arrest,0,30+ Min,1,UP63BA2421
2020-01-01,01:42:00,India,M,32,63,Asian,Signal Violation,DUI,1,Frisk,Ticket,0,0-15 Min,0,DL66AF3486
2020-01-01,01:43:00,USA,M,60,39,Hispanic,Seatbelt,Seatbelt,0,Frisk,Warning,0,0-15 Min,0,RJ49WE2709
2020-01-01,01:44:00,USA,F,47,32,Asian,Seatbelt,Signal,0,Vehicle Search,Arrest,1,0-15 Min,1,GJ22LE3279
2020-01-01,01:45:00,India,F,40,48,Hispanic,Drunk Driving,Seatbelt,1,Vehicle Search,Warning,1,0-15 Min,1,TN36WR9825
2020-01-01,01:46:00,Canada,F,26,37,Asian,Other,Signal,1,Frisk,Ticket,0,16-30 Min,0,RJ91XQ7488
2020-01-01,01:47:00,Canada,F,74,69,Black,Drunk Driving,Seatbelt,1,Vehicle Search,Warning,1,30+ Min,1,DL31LO7439
2020-01-01,01:48:00,India,F,68,25,Other,Signal Violation,DUI,1,Vehicle Search,Warning,0,0-15 Min,1,TN73HG4068
2020-01-01,01:49:00,USA,F,80,71,Hispanic,Speeding,DUI,0,Frisk,Arrest,1,16-30 Min,0,UP75GK5444
2020-01-01,01:50:00,Canada,F,68,45,Hispanic,Drunk Driving,Signal,0,Vehicle Search,Ticket,1,16-30 Min,1,UP23YN8383
2020-01-01,01:51:00,USA,F,25,24,Black,Seatbelt,Seatbelt,0,Frisk,Arrest,1,16-30 Min,0,UP57IX8805
2020-01-01,01:52:00,USA,M,50,63,White,Other,Speeding,0,Vehicle Search,Warning,1,16-30 Min,1,MH10WH5889
2020-01-01,01:53:00,Canada,F,56,70,Hispanic,Drunk Driving,Speeding,1,Vehicle Search,Arrest,0,16-30 Min,0,DL28SV9081
2020-01-01,01:54:00,Canada,F,40,61,White,Seatbelt,Other,1,Vehicle Search,Warning,0,30+ Min,0,UP22IQ4731
2020-01-01,01:55:00,Canada,M,31,38,Asian,Speeding,Signal,1,Frisk,Warning,0,16-30 Min,0,TN88OZ3477
2020-01-01,01:56:00,USA,M,72,68,Black,Other,DUI,1,Vehicle Search,Ticket,1,16-30 Min,0,MH87SR5399
2020-01-01,01:57:00,USA,F,37,46,Asian,Signal Violation,DUI,0,Vehicle Search,Warning,0,0-15 Min,1,RJ39WM9690
2020-01-01,01:58:00,India,M,28,22,Black,Signal Violation,Signal,1,Frisk,Ticket,0,30+ Min,0,TN16TE5832
2020-01-01,01:59:00,India,M,35,48,Asian,Signal Violation,DUI,1,Vehicle Search,Arrest,0,0-15 Min,0,RJ50JG3850
2020-01-01,02:00:00,USA,M,57,18,Black,Signal Violation,Seatbelt,1,Vehicle Search,Arrest,0,16-30 Min,1,TN75VL3241
2020-01-01,02:01:00,Canada,F,56,21,White,Speeding,Signal,0,Vehicle Search,Warning,0,0-15 Min,1,DL45TE2262
2020-01-01,02:02:00,India,F,47,56,Hispanic,Speeding,DUI,1,Vehicle Search,Arrest,1,16-30 Min,0,WB24MZ8320
2020-01-01,02:03:00,India,F,47,22,Black,Other,Speeding,0,Vehicle Search,Arrest,1,30+ Min,0,GJ31OC3613
2020-01-01,02:04:00,Canada,F,26,72,White,Signal Violation,Seatbelt,0,Vehicle Search,Arrest,1,30+ Min,1,RJ80OM6655
2020-01-01,02:05:00,USA,F,64,50,Black,Drunk Driving,DUI,0,Frisk,Arrest,0,30+ Min,1,MH55DL5389
2020-01-01,02:06:00,Canada,M,34,43,Asian,Seatbelt,DUI,0,Frisk,Ticket,0,0-15 Min,0,WB64WR4825
2020-01-01,02:07:00,USA,F,19,58,Asian,Seatbelt,Seatbelt,1,Frisk,Ticket,1,0-15 Min,0,GJ48WU6439
2020-01-01,02:08:00,India,F,56,79,Other,Drunk Driving,Other,0,Frisk,Ticket,0,0-15 Min,1,DL87BX7671
2020-01-01,02:09:00,Canada,M,53,79,Hispanic,Signal Violation,Speeding,0,Frisk,Arrest,0,0-15 Min,0,DL18KE5706
2020-01-01,02:10:00,India,M,48,67,Black,Drunk Driving,Speeding,0,Frisk,Ticket,0,0-15 Min,1,MH29JU7418
2020-01-01,02:11:00,India,M,65,74,Asian,Other,Speeding,0,Vehicle Search,Warning,0,0-15 Min,0,MH60WX8852
2020-01-01,02:12:00,Canada,M,39,47,White,Drunk Driving,Speeding,0,Vehicle Search,Ticket,1,0-15 Min,0,DL69ON5971
2020-01-01,02:13:00,India,M,67,36,Hispanic,Signal Violation,Other,1,Vehicle Search,Ticket,1,0-15 Min,1,DL85HV3400
2020-01-01,02:14:00,India,F,77,79,Hispanic,Speeding,Speeding,1,Vehicle Search,Warning,0,0-15 Min,1,DL84SY8912
2020-01-01,02:15:00,India,F,75,53,Asian,Seatbelt,Signal,0,Frisk,Warning,0,30+ Min,0,UP20GI1142
2020-01-01,02:16:00,USA,M,39,66,Other,Seatbelt,Signal,0,Frisk,Ticket,1,30+ Min,0,TN90PN2999
2020-01-01,02:17:00,Canada,F,42,80,Black,Signal Violation,Other,1,Frisk,Arrest,1,16-30 Min,0,DL32WR7792
2020-01-01,02:18:00,India,M,75,63,White,Seatbelt,Signal,0,Frisk,Arrest,0,0-15 Min,1,RJ81PF4808
2020-01-01,02:19:00,USA,M,21,64,White,Other,DUI,1,Vehicle Search,Ticket,0,16-30 Min,0,GJ23DR9743
2020-01-01,02:20:00,Canada,F,77,69,White,Other,Seatbelt,0,Frisk,Arrest,0,0-15 Min,1,RJ80ML8681
2020-01-01,02:21:00,Canada,M,73,43,Asian,Other,Signal,0,Frisk,Warning,1,0-15 Min,1,UP51LZ2597
2020-01-01,02:22:00,Canada,M,74,32,Hispanic,Signal Violation,Signal,1,Vehicle Search,Arrest,0,0-15 Min,1,MH52YO1565
2020-01-01,02:23:00,Canada,M,51,40,White,Speeding,Speeding,0,Vehicle Search,Warning,0,0-15 Min,0,UP70XC3264
2020-01-01,02:24:00,USA,F,36,22,Hispanic,Signal Violation,Seatbelt,0,Frisk,Ticket,0,30+ Min,0,MH57SO9110
2020-01-01,02:25:00,India,F,32,69,Hispanic,Seatbelt,Speeding,0,Frisk,Arrest,1,30+ Min,0,RJ41IF3630
2020-01-01,02:26:00,Canada,F,37,70,Hispanic,Drunk Driving,Signal,1,Frisk,Arrest,1,30+ Min,1,UP74NZ6165
2020-01-01,02:27:00,India,F,22,76,Other,Other,Speeding,0,Frisk,Warning,0,30+ Min,0,WB39NV9620
2020-01-01,02:28:00,India,F,45,44,Other,Signal Violation,Other,1,Frisk,Ticket,1,0-15 Min,0,MH28MG8771
2020-01-01,02:29:00,USA,F,68,67,White,Speeding,Signal,0,Vehicle Search,Ticket,1,30+ Min,1,TN90WP3979
2020-01-01,02:30:00,USA,F,26,67,Black,Other,DUI,0,Vehicle Search,Warning,0,30+ Min,1,RJ51TI4397
2020-01-01,02:31:00,USA,F,53,60,Asian,Speeding,DUI,1,Vehicle Search,Ticket,0,16-30 Min,0,RJ64RL5151
2020-01-01,02:32:00,India,M,61,80,Other,Drunk Driving,Signal,0,Vehicle Search,Ticket,0,16-30 Min,0,GJ58AZ4857
2020-01-01,02:33:00,India,M,25,79,Hispanic,Drunk Driving,Speeding,0,Vehicle Search,Warning,1,16-30 Min,1,GJ13OM4004
2020-01-01,02:34:00,Canada,F,42,38,Other,Seatbelt,Speeding,1,Vehicle Search,Warning,1,0-15 Min,1,MH98JV5594
2020-01-01,02:35:00,USA,F,27,44,Asian,Seatbelt,Other,1,Vehicle Search,Warning,0,30+ Min,1,KA28JK9136
2020-01-01,02:36:00,India,F,34,80,Hispanic,Seatbelt,Signal,0,Frisk,Arrest,1,16-30 Min,0,MH39RB8864
2020-01-01,02:37:00,USA,M,24,54,Hispanic,Signal Violation,Other,1,Frisk,Arrest,1,16-30 Min,0,WB90MN1350
2020-01-01,02:38:00,India,M,33,49,Hispanic,Other,Signal,1,Frisk,Arrest,1,16-30 Min,1,DL10SD7037
2020-01-01,02:39:00,Canada,F,42,53,Hispanic,Drunk Driving,DUI,0,Frisk,Ticket,1,0-15 Min,0,WB20OZ5713
2020-01-01,02:40:00,Canada,M,27,25,Asian,Speeding,DUI,1,Frisk,Ticket,0,16-30 Min,0,GJ46RC6990
2020-01-01,02:41:00,Canada,F,70,40,Asian,Other,DUI,0,Frisk,Warning,1,30+ Min,0,UP60ZM3897
2020-01-01,02:42:00,Canada,M,25,76,Other,Seatbelt,Seatbelt,0,Frisk,Arrest,0,30+ Min,0,MH66UK1367
2020-01-01,02:43:00,USA,F,43,34,Hispanic,Seatbelt,DUI,1,Vehicle Search,Warning,0,30+ Min,0,RJ74MI6996
2020-01-01,02:44:00,Canada,F,63,69,Asian,Speeding,Speeding,1,Frisk,Ticket,1,30+ Min,1,RJ99WT2168
2020-01-01,02:45:00,Canada,M,75,46,Hispanic,Speeding,Seatbelt,0,Frisk,Ticket,0,0-15 Min,0,DL77PV2647
2020-01-01,02:46:00,USA,F,20,55,Hispanic,Other,Signal,1,Frisk,Warning,0,30+ Min,0,UP42ZR7328
2020-01-01,02:47:00,Canada,M,40,69,Other,Seatbelt,DUI,1,Frisk,Warning,0,30+ Min,0,KA31EW3735
2020-01-01,02:48:00,USA,M,73,21,Asian,Other,Other,1,Frisk,Ticket,1,16-30 Min,0,KA21NM4066
2020-01-01,02:49:00,India,M,67,51,Asian,Speeding,Seatbelt,1,Frisk,Ticket,0,16-30 Min,0,RJ14GS9371
2020-01-01,02:50:00,USA,M,59,47,Other,Seatbelt,DUI,0,Frisk,Warning,1,16-30 Min,1,UP64SP1478
2020-01-01,02:51:00,USA,F,25,66,Hispanic,Drunk Driving,Speeding,1,Vehicle Search,Warning,0,16-30 Min,0,RJ23AQ7762
2020-01-01,02:52:00,India,F,50,29,Black,Drunk Driving,Signal,1,Vehicle Search,Ticket,0,30+ Min,0,MH67EH9811
2020-01-01,02:53:00,Canada,F,43,30,White,Other,Seatbelt,1,Frisk,Arrest,1,30+ Min,1,WB90TM7810
2020-01-01,02:54:00,USA,M,66,59,Other,Signal Violation,Other,1,Frisk,Ticket,1,16-30 Min,1,GJ37SX3251
2020-01-01,02:55:00,India,M,27,33,Black,Seatbelt,Other,0,Vehicle Search,Warning,1,16-30 Min,0,WB65CR4049
2020-01-01,02:56:00,USA,F,79,56,Hispanic,Other,Seatbelt,0,Vehicle Search,Ticket,0,0-15 Min,0,WB60AD3081
2020-01-01,02:57:00,India,F,57,68,White,Speeding,Other,1,Frisk,Arrest,1,16-30 Min,0,GJ46OY2005
2020-01-01,02:58:00,India,M,31,21,Asian,Drunk Driving,DUI,0,Frisk,Arrest,0,16-30 Min,0,UP73GI4591
2020-01-01,02:59:00,India,F,67,63,Hispanic,Signal Violation,Other,0,Vehicle Search,Ticket,1,30+ Min,0,KA23WS8090
2020-01-01,03:00:00,Canada,F,62,25,White,Speeding,Signal,1,Frisk,Warning,1,16-30 Min,0,DL61GF6932
2020-01-01,03:01:00,USA,F,41,46,Other,Signal Violation,DUI,0,Vehicle Search,Ticket,0,30+ Min,0,UP96IG1615
2020-01-01,03:02:00,USA,M,26,33,Hispanic,Seatbelt,Signal,0,Vehicle Search,Ticket,1,16-30 Min,0,KA46AE8526
2020-01-01,03:03:00,India,F,33,21,Other,Signal Violation,Speeding,1,Frisk,Ticket,0,16-30 Min,0,RJ98PR9249
2020-01-01,03:04:00,USA,F,51,26,Black,Other,Speeding,1,Vehicle Search,Warning,0,0-15 Min,0,TN53LH4633
2020-01-01,03:05:00,India,M,70,26,Asian,Seatbelt,Other,0,Vehicle Search,Warning,1,0-15 Min,0,WB67XW6203
2020-01-01,03:06:00,USA,M,21,67,Asian,Speeding,DUI,0,Vehicle Search,Warning,1,30+ Min,1,RJ13AK2962
2020-01-01,03:07:00,India,M,45,37,White,Other,Signal,0,Vehicle Search,Ticket,0,30+ Min,1,MH40VK2914
2020-01-01,03:08:00,Canada,F,30,68,Asian,Drunk Driving,Seatbelt,1,Vehicle Search,Arrest,0,16-30 Min,1,GJ12OV1732
2020-01-01,03:09:00,India,M,48,62,Black,Seatbelt,Seatbelt,1,Vehicle Search,Warning,1,0-15 Min,1,KA75PX6384
2020-01-01,03:10:00,Canada,M,31,24,Hispanic,Speeding,Other,0,Vehicle Search,Warning,0,16-30 Min,0,MH75WG4234
2020-01-01,03:11:00,USA,F,39,46,Other,Speeding,DUI,0,Frisk,Ticket,0,0-15 Min,0,WB87BM4877
2020-01-01,03:12:00,Canada,M,70,27,Asian,Signal Violation,Signal,0,Frisk,Warning,1,0-15 Min,0,MH94EZ7397
2020-01-01,03:13:00,USA,M,63,36,Hispanic,Signal Violation,Speeding,1,Frisk,Arrest,0,0-15 Min,0,UP95MS1428
2020-01-01,03:14:00,India,M,33,78,Other,Signal Violation,DUI,1,Vehicle Search,Warning,0,0-15 Min,1,MH23CO2824
2020-01-01,03:15:00,India,F,40,73,Black,Seatbelt,Speeding,0,Frisk,Ticket,1,30+ Min,0,KA88AL9836
2020-01-01,03:16:00,India,M,68,47,Black,Signal Violation,Speeding,0,Frisk,Warning,0,30+ Min,1,DL59KH9314
2020-01-01,03:17:00,India,M,30,70,Hispanic,Other,Other,1,Frisk,Ticket,1,0-15 Min,0,KA49IW6267
2020-01-01,03:18:00,Canada,F,65,38,Other,Other,Other,1,Vehicle Search,Warning,1,16-30 Min,0,WB56OW6709
2020-01-01,03:19:00,Canada,F,22,74,Other,Other,Other,1,Vehicle Search,Arrest,1,16-30 Min,1,DL94EB8969
2020-01-01,03:20:00,USA,F,53,75,Black,Speeding,Speeding,0,Frisk,Ticket,1,30+ Min,1,DL45KT1258
